項番,町名,Geo3x3,内容,解決策
1,瓜生町,E913873223436488,車のスピードが早く、歩道が途中からなく、歩行者のすぐわきを車が通っている。,歩道の設置
2,瓜生町,E913849889467167,交通量が増加しているうえ、わき道からの流入もある為、登下校になかなか横断できない。,押しボタン式の信号機の設置
3,稲寄町、高木町,E913849897578386,"地下道　
・大雨時に冠水の恐れ
・人通り、車通りが少なく不審者がでる恐れ",
4,稲寄町、高木町,E913849897288851,"地下道　
・大雨時に冠水の恐れ
・人通り、車通りが少なく不審者がでる恐れ",
5,稲寄町、高木町,E913849897572761,オートバックスと整骨院の間に小さな穴が空いていて、足がはまりやすい。,側溝の老朽化
6,長土呂,E913849897197644,S字カーブで見通しが悪い。車の交通量がある。   歩道がない。,
7,馬上免,E913849897125512,"片屋戸谷線
交通量があり、スピードを出す車もあり信号の変わり目など、危険を感じる。",
8,国高3丁目,E913849894795217,交通量が多く、歩道も無く危険を感じる。,
9,村国4丁目,E913849886889735,特高電線の鉄塔があり、近くの空き地で子供が遊んでいる。ボールなどで遊ぶとフェンス内に入りそうで危険,
10,村国4丁目,E913849886897699,道幅が狭いわりに交通量が多く危険を感じる。,
12,塚町,E913849894822616,・地下道に大雨が降ったとき、冠水の可能性がある。・地下道は人通り、車通りが少なく、不審者が出る恐れがある。・地下道の明かりとりの屋根が老朽化で穴が空いていて、屋根材や雪の重みで落下しそうで危険。,
13,庄町　,E913849895136544,普段点滅信号なので赤信号でも止まらない車がある。,
14,庄町　,E913849895135445,歩道がなくて道幅が狭いので危険,
14,庄町　,E913849895129827,歩道がなくて道幅が狭いので危険,
15,横市　,E913849894324375,・横断歩道箇所が信号もなくて見通しも悪く危険を感じる。・歩道がなく交通量も多い為危険を感じる。,
16,横市　,E913849894236356,・ドンキホーテが出来てから交通量がさらに増えた。・交差点周辺の交通量も激しく危険を感じる。,
17,国高１丁目　,E913849894196133,新しいゴミ置き小屋が設置され、交差点での死角が出来た。,
18,国高２丁目,E913849886655976,式部会館の駐車場がゴミ回収場所になっており、集団登校の時間帯に車でゴミを出しに来る方がいる。,
19,国高２丁目,E913849886612638,"交差点にガードレールや柵が無く、車同士が衝突事故を起こした時に歩道に乗り上げてくる可能性ある（交差点歩道にはポールが2,３本ほどあるだけ）",
20,村国3丁目　,E913849886551352,側道から車が急に出て来る。サンサン遊歩道で自転車をとばしてくる子がたまにいるので危険,
21,村国3丁目　,E913849886462239,交差点の見通しが悪く、事故が多い。,
22,八幡,E913849886715314,ファミリーマートから堤防までの道をスピードを出す車が多い。この区間歩道が無く、白線も消えている,
23,八幡,E913849885934596,確認不十分な状態で出てくる車が多い。,
24,村国１、２丁目,E913849885337982,押しボタンの信号機ですが、冬はボタンが凍結していて子供の力では押せない。,
25,村国１、２丁目,E913849885337982,融雪が使用された際、水が溜まります。,
26,村国１、２丁目,E913849882695831,歩行者用信号が無い為、事故が多い。,
